1	1	480
1	3	480
1	5	720
2	2	480
2	3	480
2	4	720
3	1	480
3	4	720
4	1	720
4	3	720
4	5	480
5	2	720
5	3	720
5	5	480
6	1	720
6	3	720
6	4	720
7	2	720
7	3	720
7	5	480
8	1	720
8	2	480
8	3	480
8	5	720
9	1	480
9	4	720
9	5	720
10	1	480
10	2	720
10	4	720
10	5	720
11	1	720
11	2	720
11	3	720
11	5	720
12	2	720
12	3	480
12	4	720
13	1	720
13	2	720
13	3	480
13	4	480
14	1	720
14	2	480
14	4	720
14	5	480
15	1	720
15	2	720
15	3	720
15	4	720
16	2	720
16	3	720
16	4	720
16	5	720
17	1	480
17	3	480
17	4	480
17	5	720
18	2	720
18	3	720
18	5	480
19	1	480
19	2	720
19	4	720
19	5	480
20	1	720
20	2	720
20	4	480
20	5	480
21	1	720
21	2	720
21	3	480
21	5	720
22	1	720
22	2	720
22	3	480
22	4	480
23	1	480
23	3	480
23	4	720
23	5	720
24	1	720
24	2	720
24	3	480
24	4	480
25	1	480
25	2	480
25	3	480
25	4	480
25	5	720
26	1	720
26	2	720
26	3	480
26	4	720
26	5	720
27	1	720
27	2	720
27	3	480
27	4	480
27	5	720
28	1	480
28	2	720
28	3	480
28	4	720
28	5	720
29	1	480
29	2	720
29	3	720
29	4	720
29	5	480
30	1	720
30	2	720
30	3	480
30	4	720
30	5	720
