1	1	720
1	2	480
1	4	720
2	1	480
2	3	720
3	2	480
3	4	480
3	5	480
4	2	720
4	5	720
5	2	720
5	3	720
5	5	720
6	1	480
6	3	480
6	4	480
7	1	720
7	3	480
7	4	720
8	1	720
8	3	720
8	5	720
9	2	720
9	4	720
10	1	720
10	3	480
10	4	720
10	5	720
11	1	480
11	2	720
11	4	720
12	2	720
12	4	720
12	5	720
13	1	480
13	3	720
13	5	480
14	1	720
14	3	480
14	4	720
15	2	480
15	3	480
15	4	480
15	5	480
16	1	720
16	3	720
16	5	480
17	2	720
17	4	480
17	5	720
18	1	720
18	2	720
18	3	480
18	4	720
18	5	720
19	1	720
19	3	720
19	5	480
20	2	720
20	4	720
20	5	720
