1	1	720
1	2	480
1	4	720
2	1	720
2	3	480
2	5	720
3	2	720
3	4	480
3	5	480
4	2	480
4	3	480
4	5	480
5	2	720
5	3	720
5	4	480
6	1	720
6	2	480
6	3	480
7	2	480
7	3	720
7	4	720
8	1	720
8	2	480
8	3	480
9	1	480
9	2	480
9	3	480
9	4	480
9	5	720
10	1	720
10	2	720
10	3	720
11	1	480
11	2	720
11	3	720
11	4	720
12	1	720
12	2	480
12	3	720
12	4	720
12	5	480
13	1	480
13	3	720
13	4	720
13	5	480
14	1	720
14	2	480
14	3	720
14	4	720
14	5	720
15	1	720
15	2	720
15	3	480
15	4	720
15	5	480
16	1	720
16	3	480
16	4	480
16	5	720
17	1	720
17	2	720
17	3	720
17	4	480
18	1	720
18	3	720
18	4	720
18	5	720
19	1	480
19	3	720
19	4	720
19	5	480
20	1	720
20	3	720
20	4	720
21	1	720
21	2	720
21	3	720
21	5	480
22	1	720
22	3	720
22	4	480
22	5	720
23	1	480
23	2	720
23	3	720
23	4	480
23	5	720
24	1	720
24	2	720
24	3	720
24	4	720
24	5	720
25	1	720
25	2	480
25	3	720
25	4	720
25	5	720
