1	3	720
1	5	720
2	2	480
2	3	480
2	5	720
3	3	480
3	5	720
4	1	720
4	3	480
4	4	480
5	1	480
5	2	720
5	5	720
6	1	480
6	2	720
6	5	720
7	1	720
7	3	720
7	4	480
8	1	720
8	3	720
8	4	720
9	1	720
9	3	480
10	2	720
10	4	480
11	1	720
11	2	720
12	1	480
12	4	720
12	5	720
13	3	720
13	4	720
14	2	720
14	3	480
14	4	480
14	5	480
15	2	720
15	3	480
15	4	720
15	5	720
16	1	720
16	2	480
16	3	720
17	3	720
17	4	720
17	5	480
18	1	720
18	3	480
18	5	720
19	1	720
19	2	480
19	3	720
20	1	720
20	3	720
20	4	480
21	1	480
21	2	480
21	5	720
22	1	720
22	2	480
22	4	720
23	1	720
23	3	720
23	4	720
23	5	720
24	1	720
24	2	480
24	3	720
24	4	720
25	1	480
25	2	720
25	3	480
25	4	480
26	1	480
26	2	480
26	3	720
27	1	480
27	2	480
27	5	720
28	1	480
28	3	720
28	5	720
29	3	720
29	4	720
29	5	480
30	1	720
30	2	720
30	3	720
30	5	480
31	1	480
31	2	720
31	4	720
32	1	720
32	3	720
32	4	720
33	1	720
33	2	720
33	3	720
33	4	720
34	1	480
34	2	480
34	3	720
34	4	480
34	5	720
35	1	720
35	2	720
35	4	480
35	5	480
29	5	480
30	1	720
30	2	720
30	3	480
30	4	720
30	5	720
